datetime,street,averageSpeed,medianSpeed,harmonicAverageSpeed,travelTimeRatio,averageTravelTime,sampleSize,temp,feelslike,humidity,precip,precipprob,windspeed,cloudcover,visibility,uvindex,aqi
2024-08-01 00:00:00,Jalan Sultan Salahuddin,24.61756049455645,25.2769687424743,24.942907234609052,1.1494620735254442,2.438615420828686,173,30.49496109528021,30.97556968862756,79.99840159782855,0.0,0.0,3.1152747811494557,64.48092651498075,5.435410247957143,1.3286834144323647,79.8550336802998
2024-08-01 01:00:00,Jalan Sultan Salahuddin,25.760255050087768,25.08227843862008,25.416746392454083,1.1332182439965792,4.3990979618907895,119,28.991581250836294,30.080593502613837,63.815473608975324,0.1,10.0,1.953584554849157,16.51135454524516,9.39265374603578,3.716511948036056,76.23801441912582
2024-08-01 02:00:00,Jalan Sultan Salahuddin,26.18899894491863,26.76624656500888,26.47447656225243,1.0773228893197209,3.807914730933361,176,27.962126659214704,26.71052000224239,79.99908217233727,0.1,10.0,1.9219398249385302,37.790709251732736,6.462209022947579,8.18445696891675,55.92272854730012
2024-08-01 03:00:00,Jalan Sultan Salahuddin,18.04335228028444,17.368836902481494,17.69967065932183,1.2000730475894414,3.0676692710157485,67,27.312062036459768,27.33563828089028,89.76725744583366,0.3,30.0,2.3643768893969823,68.73520615726181,5.306493972246118,5.730214366560176,65.19033986766804
2024-08-01 04:00:00,Jalan Sultan Salahuddin,18.311917661553746,18.22810002938987,18.26991271257553,1.2066049628116362,3.277498263589326,75,30.245455802027074,28.88111240858277,85.83026463924041,0.1,10.0,3.7899652908180936,65.4061957014814,5.063782398537152,7.257066901729621,79.77950796306497
2024-08-01 05:00:00,Jalan Sultan Salahuddin,17.44186813675824,17.741016769407537,17.590170671296736,1.30029060861888,2.6175873798629534,124,33.87806540159596,33.643300050157144,76.80515686702076,0.1,10.0,2.9576832561436652,23.844333205666985,8.967182909436808,9.234369429663543,92.79020563740517
2024-08-01 06:00:00,Jalan Sultan Salahuddin,22.288562075133676,22.05560208680291,22.17147015877753,1.0630689459250617,2.6831330748182673,105,25.835893996475743,24.469914289525647,74.81541044224684,0.0,0.0,1.1472515924694155,10.8730319430738,5.700224060671145,3.898725177846392,90.08260938378228
2024-08-01 07:00:00,Jalan Sultan Salahuddin,20.25959915431119,20.53918817705912,20.398435671259904,1.605938799342601,6.240941806887837,90,31.42949129977789,32.206422992132715,64.43238973313883,0.1,10.0,2.995220397605067,48.53110310365372,5.978538758193939,1.2506479982448018,76.49413913222412
2024-08-01 08:00:00,Jalan Sultan Salahuddin,9.966828581448873,10.058962697748482,10.012683695529452,2.018552254845035,9.168705202982848,175,32.98531963301429,33.97627894813878,89.40155828929454,0.3,30.0,2.8128805910796064,45.43472526877338,6.137108643617646,2.5419209000893748,89.89742446596722
2024-08-01 09:00:00,Jalan Sultan Salahuddin,20.651136354379812,21.537609047422382,21.085059389637323,1.8048178765173934,5.252669122239641,135,33.21071192472361,32.27834068154162,84.76133933606916,0.1,10.0,1.4000060011631899,98.83741276053732,7.784402950739828,3.5024387350000534,98.35904516356835
